column_name,Description,source_sheet,type_status,column_type,is_required,actual_column_in_loans,business_category,test_function,test_type
home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER",RLoanStatNew,found,string,True,home_ownership,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
id,A unique LC assigned ID for the loan listing.,RLoanStatNew,found,string,False,id,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
il_util,Ratio of total current balance to high credit/credit limit on all install acct,RLoanStatNew,found,string,True,il_util,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
initial_list_status,"The initial listing status of the loan. Possible values are – W, F",RLoanStatNew,found,string,True,initial_list_status,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
inq_fi,Number of personal finance inquiries,RLoanStatNew,found,string,True,inq_fi,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
inq_last_12m,Number of credit inquiries in past 12 months,RLoanStatNew,found,string,True,inq_last_12m,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries),RLoanStatNew,found,string,True,inq_last_6mths,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
installment,The monthly payment owed by the borrower if the loan originates.,RLoanStatNew,found,double,True,installment,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
int_rate,Interest Rate on the loan,RLoanStatNew,found,double,True,int_rate,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
issue_d,The month which the loan was funded,RLoanStatNew,found,string,True,issue_d,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
last_credit_pull_d,The most recent month LC pulled credit for this loan,RLoanStatNew,found,string,True,last_credit_pull_d,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
last_fico_range_high,The upper boundary range the borrower’s last FICO pulled belongs to.,RLoanStatNew,not_in_file,,False,,credit_info,"['count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency']"
last_fico_range_low,The lower boundary range the borrower’s last FICO pulled belongs to.,RLoanStatNew,not_in_file,,False,,credit_info,"['count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency']"
last_pymnt_amnt,Last total payment amount received,RLoanStatNew,found,string,True,last_pymnt_amnt,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
last_pymnt_d,Last month payment was received,RLoanStatNew,found,string,True,last_pymnt_d,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
loan_amnt,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value.",RLoanStatNew,found,int,True,loan_amnt,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
loan_status,Current status of the loan,RLoanStatNew,found,string,True,loan_status,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
max_bal_bc,Maximum current balance owed on all revolving accounts,RLoanStatNew,found,string,True,max_bal_bc,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
member_id,A unique LC assigned Id for the borrower member.,RLoanStatNew,found,string,False,member_id,other,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'basic_validation']"
mo_sin_old_il_acct,Months since oldest bank installment account opened,RLoanStatNew,found,double,True,mo_sin_old_il_acct,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
mo_sin_old_rev_tl_op,Months since oldest revolving account opened,RLoanStatNew,found,int,True,mo_sin_old_rev_tl_op,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
mo_sin_rcnt_rev_tl_op,Months since most recent revolving account opened,RLoanStatNew,found,int,True,mo_sin_rcnt_rev_tl_op,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
mo_sin_rcnt_tl,Months since most recent account opened,RLoanStatNew,found,int,True,mo_sin_rcnt_tl,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
mort_acc,Number of mortgage accounts.,RLoanStatNew,found,int,True,mort_acc,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
mths_since_last_delinq,The number of months since the borrower's last delinquency.,RLoanStatNew,found,string,True,mths_since_last_delinq,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
mths_since_last_major_derog,Months since most recent 90-day or worse rating,RLoanStatNew,found,string,True,mths_since_last_major_derog,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
mths_since_last_record,The number of months since the last public record.,RLoanStatNew,found,string,True,mths_since_last_record,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
mths_since_rcnt_il,Months since most recent installment accounts opened,RLoanStatNew,found,string,True,mths_since_rcnt_il,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
mths_since_recent_bc,Months since most recent bankcard account opened.,RLoanStatNew,found,int,True,mths_since_recent_bc,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
mths_since_recent_bc_dlq,Months since most recent bankcard delinquency,RLoanStatNew,found,int,True,mths_since_recent_bc_dlq,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
mths_since_recent_inq,Months since most recent inquiry.,RLoanStatNew,found,int,True,mths_since_recent_inq,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
mths_since_recent_revol_delinq,Months since most recent revolving delinquency.,RLoanStatNew,found,int,True,mths_since_recent_revol_delinq,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
next_pymnt_d,Next scheduled payment date,RLoanStatNew,found,string,True,next_pymnt_d,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
num_accts_ever_120_pd,Number of accounts ever 120 or more days past due,RLoanStatNew,found,int,True,num_accts_ever_120_pd,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_actv_bc_tl,Number of currently active bankcard accounts,RLoanStatNew,found,int,True,num_actv_bc_tl,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_actv_rev_tl,Number of currently active revolving trades,RLoanStatNew,found,int,True,num_actv_rev_tl,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_bc_sats,Number of satisfactory bankcard accounts,RLoanStatNew,found,int,True,num_bc_sats,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_bc_tl,Number of bankcard accounts,RLoanStatNew,found,int,True,num_bc_tl,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_il_tl,Number of installment accounts,RLoanStatNew,found,int,True,num_il_tl,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
num_op_rev_tl,Number of open revolving accounts,RLoanStatNew,found,int,True,num_op_rev_tl,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_rev_accts,Number of revolving accounts,RLoanStatNew,found,int,True,num_rev_accts,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_rev_tl_bal_gt_0,Number of revolving trades with balance >0,RLoanStatNew,found,int,True,num_rev_tl_bal_gt_0,financial_metrics,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency', 'moving_average']","['stability', 'completeness', 'range_check']"
num_sats,Number of satisfactory accounts,RLoanStatNew,found,int,True,num_sats,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_tl_120dpd_2m,Number of accounts currently 120 days past due (updated in past 2 months),RLoanStatNew,found,int,True,num_tl_120dpd_2m,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
num_tl_30dpd,Number of accounts currently 30 days past due (updated in past 2 months),RLoanStatNew,found,int,True,num_tl_30dpd,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
num_tl_90g_dpd_24m,Number of accounts 90 or more days past due in last 24 months,RLoanStatNew,found,int,True,num_tl_90g_dpd_24m,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
num_tl_op_past_12m,Number of accounts opened in past 12 months,RLoanStatNew,found,int,True,num_tl_op_past_12m,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
open_acc,The number of open credit lines in the borrower's credit file.,RLoanStatNew,found,string,True,open_acc,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
open_acc_6m,Number of open trades in last 6 months,RLoanStatNew,found,string,True,open_acc_6m,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
open_il_12m,Number of installment accounts opened in past 12 months,RLoanStatNew,found,string,True,open_il_12m,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
open_il_24m,Number of installment accounts opened in past 24 months,RLoanStatNew,found,string,True,open_il_24m,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
open_act_il,Number of currently active installment trades,RLoanStatNew,found,string,True,open_act_il,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
open_rv_12m,Number of revolving trades opened in past 12 months,RLoanStatNew,found,string,True,open_rv_12m,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
open_rv_24m,Number of revolving trades opened in past 24 months,RLoanStatNew,found,string,True,open_rv_24m,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
out_prncp,Remaining outstanding principal for total amount funded,RLoanStatNew,found,string,True,out_prncp,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
out_prncp_inv,Remaining outstanding principal for portion of total amount funded by investors,RLoanStatNew,found,string,True,out_prncp_inv,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
pct_tl_nvr_dlq,Percent of trades never delinquent,RLoanStatNew,found,double,True,pct_tl_nvr_dlq,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
percent_bc_gt_75,Percentage of all bankcard accounts > 75% of limit.,RLoanStatNew,found,double,True,percent_bc_gt_75,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
policy_code,"publicly available policy_code=1
new products not publicly available policy_code=2",RLoanStatNew,found,string,True,policy_code,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
pub_rec,Number of derogatory public records,RLoanStatNew,found,string,True,pub_rec,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
pub_rec_bankruptcies,Number of public record bankruptcies,RLoanStatNew,found,int,True,pub_rec_bankruptcies,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
purpose,A category provided by the borrower for the loan request. ,RLoanStatNew,found,string,True,purpose,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
pymnt_plan,Indicates if a payment plan has been put in place for the loan,RLoanStatNew,found,string,True,pymnt_plan,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
recoveries,post charge off gross recovery,RLoanStatNew,found,string,True,recoveries,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
revol_bal,Total credit revolving balance,RLoanStatNew,found,string,True,revol_bal,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
